model | String | Required | viduq3-turbo viduq3-pro viduq2-pro-fast viduq2-pro viduq2-turbo viduq1 viduq1-classic vidu2.0
images | Array\[String\] | Required | data:image/png;base64,{base64_encode}
prompt | String | Optional | 
is_rec | Bool | Optional | true: false
duration | Int | Optional | viduq3-pro viduq3-turbo viduq2-pro-fast viduq2-pro viduq2-turbo viduq1 viduq1-classic vidu2.0
seed | Int | Optional | 
resolution | String | Optional | viduq3-pro viduq3-turbo viduq2-pro-fast viduq2-pro viduq2-turbo viduq1 viduq1-classic vidu2.0 vidu2.0
movement_amplitude | String | Optional | auto auto small medium large
bgm | Bool | Optional | 
audio | Bool | Optional | 
payload | String | Optional | 
off_peak | Bool | Optional | false true false
callback_url | String | Optional | callback_url processing success failed
